datetime,sales,week,soldout,name,kcal,remarks,event,payday,weather,precipitation,temperature,month,days,period
2013-11-18,90,月,0,厚切りイカフライ,,,,,快晴,--,19.8,11,18,中旬
2013-11-19,101,火,1,手作りヒレカツ,,,,,快晴,--,17.0,11,19,中旬
2013-11-20,118,水,0,白身魚唐揚げ野菜あん,,,,,快晴,--,15.5,11,20,中旬
2013-11-21,120,木,1,若鶏ピリ辛焼,,,,,快晴,--,15.2,11,21,下旬
2013-11-22,130,金,1,ビッグメンチカツ,,,,,快晴,--,16.1,11,22,下旬
2013-11-25,135,月,1,鶏の唐揚,,,,,曇,--,14.6,11,25,下旬
2013-11-26,145,火,0,豚のスタミナ炒め,,,,,快晴,--,17.9,11,26,下旬
2013-11-27,140,水,1,ボローニャ風カツ,,,,,晴れ,--,14.7,11,27,下旬
2013-11-28,151,木,0,ハンバーグ,,,,,薄曇,--,17.7,11,28,下旬
2013-11-29,116,金,0,タルタルinソーセージカツ,,,,,快晴,--,12.1,11,29,下旬
2013-12-02,151,月,1,マーボ豆腐,,,,,快晴,--,13.8,12,2,上旬
2013-12-03,153,火,1,厚揚げ豚生姜炒め,,,,,快晴,--,13.9,12,3,上旬
2013-12-04,151,水,1,クリームチーズ入りメンチ,,,,,晴れ,--,13.5,12,4,上旬
2013-12-05,171,木,0,鶏のカッシュナッツ炒め,,,,,快晴,--,13.8,12,5,上旬
2013-12-06,134,金,0,手作りロースカツ,,,,,快晴,--,14.9,12,6,上旬
2013-12-09,165,月,1,ハンバーグデミソース,,,,,曇,--,9.1,12,9,上旬
2013-12-10,155,火,0,やわらかロースのサムジョン,,,,1.0,曇,0.5,7.1,12,10,上旬
2013-12-11,157,水,0,五目御飯,,,,,曇,--,11.0,12,11,中旬
2013-12-12,109,木,0,肉じゃが,,,,,快晴,--,12.3,12,12,中旬
2013-12-13,111,金,1,タンドリーチキン,,,,,快晴,--,13.9,12,13,中旬
2013-12-16,160,月,0,カキフライタルタル,,,,,快晴,--,11.3,12,16,中旬
2013-12-17,145,火,0,手作りヒレカツ,,,ママの会,,曇,--,10.8,12,17,中旬
2013-12-18,145,水,1,回鍋肉,,,,,曇,--,7.8,12,18,中旬
