,datetime,sales,week,soldout,name,kcal,event,payday,weather,precipitation,temperature,month,days,period
28,2014-01-07,131,火,0,カレー入りソーセージカツ,404.0,,0.0,快晴,0.0,7.3,1,7,上旬
29,2014-01-08,128,水,0,豚肉の生姜焼,462.0,,0.0,曇,0.0,9.8,1,8,上旬
30,2014-01-09,129,木,1,鶏チリソース,435.0,,0.0,曇,0.0,10.9,1,9,上旬
31,2014-01-10,87,金,0,手作りロースカツ,440.0,,1.0,快晴,0.0,5.1,1,10,上旬
32,2014-01-14,129,火,1,鶏の照り焼きマスタード,376.0,,0.0,晴れ,0.0,5.8,1,14,中旬
33,2014-01-15,134,水,0,さんま辛味焼,450.0,,0.0,曇,0.0,2.9,1,15,中旬
34,2014-01-16,107,木,0,カレイ唐揚げ野菜あんかけ,415.0,,0.0,快晴,0.0,7.0,1,16,中旬
35,2014-01-17,85,金,1,回鍋肉,430.0,ママの会,0.0,快晴,0.0,7.8,1,17,中旬
36,2014-01-20,126,月,1,ジューシーメンチカツ,375.0,,0.0,晴れ,0.0,6.5,1,20,中旬
37,2014-01-21,129,火,1,サバ焼味噌掛け,447.0,,0.0,快晴,0.0,10.4,1,21,下旬
38,2014-01-22,126,水,1,手作りひれかつとカレー,426.0,,0.0,快晴,0.0,7.4,1,22,下旬
39,2014-01-23,107,木,0,酢豚,400.0,,0.0,快晴,0.0,8.5,1,23,下旬
40,2014-01-24,92,金,1,鶏のレモンペッパー焼orカレー,418.0,,0.0,快晴,0.0,10.1,1,24,下旬
41,2014-01-27,126,月,1,チンジャオロース,415.0,,0.0,快晴,0.0,5.1,1,27,下旬
42,2014-01-28,120,火,0,海老フライタルタル,445.0,,0.0,快晴,0.0,12.6,1,28,下旬
43,2014-01-29,121,水,1,チーズ入りメンチカツ,450.0,,0.0,快晴,0.0,10.3,1,29,下旬
44,2014-01-30,105,木,1,鶏の唐揚げ,448.0,,0.0,曇,0.0,15.3,1,30,下旬
45,2014-01-31,92,金,1,メダイ照り焼,460.0,,0.0,快晴,0.0,14.1,1,31,下旬
46,2014-02-03,139,月,1,ハンバーグカレーソース,445.0,,0.0,晴れ,0.0,15.9,2,3,上旬
47,2014-02-04,121,火,1,さわら焼味噌掛け,430.0,,0.0,雨,0.0,3.8,2,4,上旬
48,2014-02-05,126,水,1,鶏のピリ辛焼き,420.0,,0.0,快晴,0.0,3.0,2,5,上旬
49,2014-02-06,111,木,1,手作りロースカツ,435.0,,0.0,曇,0.0,4.2,2,6,上旬
50,2014-02-07,91,金,1,ホタテクリ―ムシチュー,425.0,,0.0,晴れ,0.0,5.5,2,7,上旬
51,2014-02-10,137,月,0,鶏の唐揚げおろしソース,423.0,,1.0,曇,0.0,7.8,2,10,上旬
52,2014-02-12,111,水,0,ますのマスタードソース,415.0,,0.0,曇,0.0,6.3,2,12,中旬
53,2014-02-13,84,木,0,回鍋肉,438.0,,0.0,曇,0.0,6.4,2,13,中旬
54,2014-02-14,86,金,1,ロース甘味噌焼き,432.0,,0.0,雪,0.5,1.2,2,14,中旬
